safeName,item,itemLabel,deaths,starttime,endtime,pointintime
MaidanSharattack,http://www.wikidata.org/entity/Q60774860,Maidan Shar attack,129,,,2019-01-21T00:00:00Z
Peshawarchurchbombing,http://www.wikidata.org/entity/Q14941833,Peshawar church bombing,127,,,2013-09-22T00:00:00Z
"Maratha,SantalarisandAlodamassacre",http://www.wikidata.org/entity/Q1862197,"Maratha, Santalaris and Aloda massacre",126,,,1974-08-14T00:00:00Z
MassakervonSanMartinodiLupari,http://www.wikidata.org/entity/Q60842217,Massaker von San Martino di Lupari,125,,,1945-04-29T00:00:00Z
2015KhanBaniSaadbombing,http://www.wikidata.org/entity/Q20679588,2015 Khan Bani Saad bombing,125,,,2015-07-17T00:00:00Z
Khanal-Assalmassacre,http://www.wikidata.org/entity/Q14513646,Khan al-Assal massacre,123,,,2013-07-22T00:00:00Z
Putismassacre,http://www.wikidata.org/entity/Q48723698,Putis massacre,123,,,1984-01-01T00:00:00Z
Saint-Genis-Lavalmassacre,http://www.wikidata.org/entity/Q20871346,Saint-Genis-Laval massacre,120,,,1944-08-20T00:00:00Z
PietRetiefDelegationmassacre,http://www.wikidata.org/entity/Q12815319,Piet Retief Delegation massacre,116,,,1838-02-06T00:00:00Z
GulfAirFlight771,http://www.wikidata.org/entity/Q2335758,Gulf Air Flight 771,112,,,1983-09-23T00:00:00Z
DeirYassinmassacre,http://www.wikidata.org/entity/Q1126268,Deir Yassin massacre,111,,,1948-04-09T00:00:00Z
Carandirumassacre,http://www.wikidata.org/entity/Q2341407,Carandiru massacre,111,,,1992-10-02T00:00:00Z
Vallucciolemassacre,http://www.wikidata.org/entity/Q63392172,Vallucciole massacre,108,,,1944-04-13T00:00:00Z
MasacreledelaTărcaiașiGrădinari(1919),http://www.wikidata.org/entity/Q55098324,Masacrele de la Tărcaia și Grădinari (1919),108,,,1919-04-19T00:00:00Z
