safeName,item,itemLabel,deaths,starttime,endtime,pointintime
HurricaneMaria,http://www.wikidata.org/entity/Q40178187,Hurricane Maria,4645,2017-09-16T00:00:00Z,2017-10-02T00:00:00Z,
2008Zimbabweancholeraoutbreak,http://www.wikidata.org/entity/Q153678,2008 Zimbabwean cholera outbreak,4293,2008-08-01T00:00:00Z,2009-07-01T00:00:00Z,
1928Okeechobeehurricane,http://www.wikidata.org/entity/Q206392,1928 Okeechobee hurricane,4078,1928-09-06T00:00:00Z,1928-09-21T00:00:00Z,
CaroleanDeathMarch,http://www.wikidata.org/entity/Q481236,Carolean Death March,3900,1719-01-08T00:00:00Z,1719-01-16T00:00:00Z,
2010Chinafloods,http://www.wikidata.org/entity/Q2741550,2010 China floods,3189,2010-05-10T00:00:00Z,2010-09-01T00:00:00Z,
Q84571338,http://www.wikidata.org/entity/Q84571338,Q84571338,2600,1578-06-01T00:00:00Z,1578-12-01T00:00:00Z,
1931Belizehurricane,http://www.wikidata.org/entity/Q206476,1931 Belize hurricane,2500,1931-09-06T00:00:00Z,1931-09-13T00:00:00Z,
1831Barbadoshurricane,http://www.wikidata.org/entity/Q4554344,1831 Barbados hurricane,2500,1831-01-01T00:00:00Z,1831-08-17T00:00:00Z,
JohnstownFlood,http://www.wikidata.org/entity/Q691404,Johnstown Flood,2209,1889-05-31T00:00:00Z,1889-05-31T00:00:00Z,
GreatFireofHakodate,http://www.wikidata.org/entity/Q10843852,Great Fire of Hakodate,2166,1934-03-21T00:00:00Z,1934-03-22T00:00:00Z,
May2004Caribbeanfloods,http://www.wikidata.org/entity/Q6796315,May 2004 Caribbean floods,2000,2004-05-18T00:00:00Z,2004-05-25T00:00:00Z,
1990AndhraPradeshcyclone,http://www.wikidata.org/entity/Q491827,1990 Andhra Pradesh cyclone,967,1990-05-04T00:00:00Z,1990-05-10T00:00:00Z,
HurricaneGeorges,http://www.wikidata.org/entity/Q3243975,Hurricane Georges,827,1998-09-15T00:00:00Z,1998-10-01T00:00:00Z,
2002–2004SARSoutbreak,http://www.wikidata.org/entity/Q834456,2002–2004 SARS outbreak,774,2002-11-16T00:00:00Z,2004-05-19T00:00:00Z,
August8Flood,http://www.wikidata.org/entity/Q707405,August 8 Flood,681,2009-08-06T00:00:00Z,2009-08-10T00:00:00Z,
1854BroadStreetcholeraoutbreak,http://www.wikidata.org/entity/Q2035019,1854 Broad Street cholera outbreak,616,1854-08-31T00:00:00Z,t1856173980,
