item,itemLabel,deaths,pointintime
http://www.wikidata.org/entity/Q1137013,Houla massacre,261,2012-05-25T00:00:00Z
http://www.wikidata.org/entity/Q2523448,Plan de Sánchez massacre,250,1982-07-18T00:00:00Z
http://www.wikidata.org/entity/Q17014905,Ramna massacre,250,1971-03-27T00:00:00Z
http://www.wikidata.org/entity/Q740534,Dos Erres massacre,226,1982-12-06T00:00:00Z
http://www.wikidata.org/entity/Q707956,Tungchow Mutiny,223,1937-07-29T00:00:00Z
http://www.wikidata.org/entity/Q688821,Distomo massacre,218,1944-06-10T00:00:00Z
http://www.wikidata.org/entity/Q496095,Ganghwa massacre,212,1951-01-06T00:00:00Z
http://www.wikidata.org/entity/Q45825724,strage di Gorla,204,1944-10-20T00:00:00Z
http://www.wikidata.org/entity/Q4390512,Paramythia executions,201,1943-09-01T00:00:00Z
http://www.wikidata.org/entity/Q200472,Paris massacre of 1961,200,1961-10-17T00:00:00Z
http://www.wikidata.org/entity/Q213531,11 de marzo de 2004,193,2004-03-11T00:00:00Z
http://www.wikidata.org/entity/Q5614677,Gudovac massacre,192,1941-04-28T00:00:00Z
http://www.wikidata.org/entity/Q764967,Andijan massacre,187,2005-05-13T00:00:00Z
http://www.wikidata.org/entity/Q2436495,massacre of Sochy,185,1943-06-01T00:00:00Z
http://www.wikidata.org/entity/Q9388641,Masakr v Majdańské Hutě,184,1943-07-12T00:00:00Z
http://www.wikidata.org/entity/Q1639150,Domenikon Massacre,175,1943-02-17T00:00:00Z
http://www.wikidata.org/entity/Q3718406,Padule di Fucecchio massacre,174,1944-08-23T00:00:00Z
http://www.wikidata.org/entity/Q217528,Oklahoma City bombing,168,1995-04-19T00:00:00Z
http://www.wikidata.org/entity/Q3297421,Bulhoek massacre,163,1921-05-24T00:00:00Z
http://www.wikidata.org/entity/Q62389968,March 2019 attacks against Fulani herders,160,2019-03-23T00:00:00Z
http://www.wikidata.org/entity/Q15410573,Benisheik massacre,159,2013-09-18T00:00:00Z
http://www.wikidata.org/entity/Q74068231,Massaker von Pazin,157,1943-10-04T00:00:00Z
http://www.wikidata.org/entity/Q4390509,Medvedev Forest massacre,157,1941-09-11T00:00:00Z
http://www.wikidata.org/entity/Q430700,Khatyn massacre,156,1943-03-22T00:00:00Z
http://www.wikidata.org/entity/Q3525320,Goyang Geumjeong Cave Massacre,153,1950-10-09T00:00:00Z
http://www.wikidata.org/entity/Q18732673,2015 Baga massacre,150,2015-01-07T00:00:00Z
http://www.wikidata.org/entity/Q19671417,Germanwings Flight 9525,150,2015-03-24T00:00:00Z
http://www.wikidata.org/entity/Q11785458,murder in the Bratian Forest,150,1939-10-15T00:00:00Z
http://www.wikidata.org/entity/Q19750438,Garissa University College attack,148,2015-04-02T00:00:00Z
http://www.wikidata.org/entity/Q1201832,Budyonnovsk hospital hostage crisis,147,1995-06-19T00:00:00Z
http://www.wikidata.org/entity/Q18641076,2014 Peshawar school attack,145,2014-12-16T00:00:00Z
http://www.wikidata.org/entity/Q211582,Zong massacre,142,1781-11-29T00:00:00Z
http://www.wikidata.org/entity/Q7126934,Palawan massacre,139,1944-12-14T00:00:00Z
http://www.wikidata.org/entity/Q60774860,Maidan Shar attack,129,2019-01-21T00:00:00Z
http://www.wikidata.org/entity/Q14941833,Peshawar church bombing,127,2013-09-22T00:00:00Z
http://www.wikidata.org/entity/Q1862197,"Maratha, Santalaris and Aloda massacre",126,1974-08-14T00:00:00Z
http://www.wikidata.org/entity/Q60842217,Massaker von San Martino di Lupari,125,1945-04-29T00:00:00Z
http://www.wikidata.org/entity/Q20679588,2015 Khan Bani Saad bombing,125,2015-07-17T00:00:00Z
http://www.wikidata.org/entity/Q14513646,Khan al-Assal massacre,123,2013-07-22T00:00:00Z
http://www.wikidata.org/entity/Q48723698,Putis massacre,123,1984-01-01T00:00:00Z
http://www.wikidata.org/entity/Q20871346,Saint-Genis-Laval massacre,120,1944-08-20T00:00:00Z
