item,itemLabel,deaths,starttime,endtime
http://www.wikidata.org/entity/Q2035019,1854 Broad Street cholera outbreak,616,1854-08-31T00:00:00Z,t1856173980
http://www.wikidata.org/entity/Q27058656,Hurricane Matthew,603,2016-09-28T00:00:00Z,2016-10-10T00:00:00Z
http://www.wikidata.org/entity/Q62023294,Cyclone Idai,558,2019-03-04T00:00:00Z,2019-03-21T00:00:00Z
http://www.wikidata.org/entity/Q83222062,1924–25 Minnesota smallpox epidemic,500,1924-01-01T00:00:00Z,1925-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3111601,2009 flu pandemic in Canada,429,2009-04-26T00:00:00Z,2010-01-01T00:00:00Z
http://www.wikidata.org/entity/Q434820,2009 flu pandemic in the United Kingdom,392,2009-04-27T00:00:00Z,2009-01-01T00:00:00Z
http://www.wikidata.org/entity/Q30327722,2017 Pedrógão Grande Wildfire,389,2017-06-17T00:00:00Z,2017-06-24T00:00:00Z
http://www.wikidata.org/entity/Q434820,2009 flu pandemic in the United Kingdom,303,2009-04-27T00:00:00Z,2009-01-01T00:00:00Z
http://www.wikidata.org/entity/Q70520,Great Chicago Fire,300,1871-10-08T00:00:00Z,1871-10-10T00:00:00Z
http://www.wikidata.org/entity/Q23825118,2016 Kumamoto earthquakes,267,2016-04-14T00:00:00Z,2016-04-16T00:00:00Z
http://www.wikidata.org/entity/Q264,Hurricane Sandy,233,2012-10-22T00:00:00Z,2012-10-31T00:00:00Z
http://www.wikidata.org/entity/Q838278,Black Saturday bushfires,231,2009-02-07T00:00:00Z,2009-03-14T00:00:00Z
http://www.wikidata.org/entity/Q434820,2009 flu pandemic in the United Kingdom,214,2009-04-27T00:00:00Z,2009-01-01T00:00:00Z
http://www.wikidata.org/entity/Q65938428,Q65938428,207,1930-09-18T00:00:00Z,1930-09-20T00:00:00Z
http://www.wikidata.org/entity/Q28834995,1896 Cedar Keys hurricane,202,1896-09-22T00:00:00Z,1896-09-30T00:00:00Z
http://www.wikidata.org/entity/Q392603,Hurricane Ike,195,2008-09-01T00:00:00Z,2008-09-15T00:00:00Z
http://www.wikidata.org/entity/Q2183839,Typhoon Wanda,183,1962-08-27T00:00:00Z,1962-09-01T00:00:00Z
http://www.wikidata.org/entity/Q1434437,2012 Krasnodar Krai floods,171,2012-07-06T00:00:00Z,2012-07-07T00:00:00Z
http://www.wikidata.org/entity/Q5599303,Great Havana Hurricane of 1846,164,1846-10-05T00:00:00Z,1846-10-14T00:00:00Z
http://www.wikidata.org/entity/Q38685186,Hurricane Irma,133,2017-08-30T00:00:00Z,2017-09-12T00:00:00Z
http://www.wikidata.org/entity/Q4353265,Tropical Storm Matthew,126,2010-09-23T00:00:00Z,2010-09-28T00:00:00Z
http://www.wikidata.org/entity/Q52557797,2018 Indian dust storms,125,2018-05-02T00:00:00Z,2018-05-03T00:00:00Z
http://www.wikidata.org/entity/Q18195808,Cyclone Hudhud,124,2014-10-07T00:00:00Z,2014-10-14T00:00:00Z
http://www.wikidata.org/entity/Q1784617,Battle of May Island,104,1918-01-31T00:00:00Z,1918-02-01T00:00:00Z
http://www.wikidata.org/entity/Q10540855,Åkerström landslide,100,1648-10-06T00:00:00Z,1648-10-06T00:00:00Z
http://www.wikidata.org/entity/Q849719,Hurricane Wilma,87,2005-10-16T00:00:00Z,2005-10-27T00:00:00Z
http://www.wikidata.org/entity/Q14628797,2013 China–Russia floods,85,2013-08-10T00:00:00Z,2013-11-01T00:00:00Z
http://www.wikidata.org/entity/Q831134,Gale of January 1976,82,1976-01-01T00:00:00Z,1976-01-05T00:00:00Z
http://www.wikidata.org/entity/Q3149837,Landes Forest 1949 wildfire,82,1949-08-19T00:00:00Z,1949-08-25T00:00:00Z
http://www.wikidata.org/entity/Q3087650,Hurricane Betsy,81,1965-08-27T00:00:00Z,1965-09-13T00:00:00Z
http://www.wikidata.org/entity/Q33129408,Typhoon Phyllis,77,1975-08-11T00:00:00Z,1975-08-20T00:00:00Z
http://www.wikidata.org/entity/Q18616198,2014 Madagascar plague outbreak,74,2014-08-31T00:00:00Z,2015-01-01T00:00:00Z
http://www.wikidata.org/entity/Q28037840,2016 Irkutsk mass methanol poisoning,72,2016-12-17T00:00:00Z,2016-12-20T00:00:00Z
